Testo,Categoria
Smetterò di bestemmiare di fronte ai miei amici credenti,Amici
Io e il parroco diventeremo amici,Amici
Inizierò ad uscire con i colleghi, basta scuse,Amici
È arrivato il momento dei balli di gruppo,Amici
Brucerò il mio divano e la copertina netflix... Si esce!,Amici
Eliminerò la mia data di nascita da Facebook per vedere realmente chi si ricorda del mio compleanno,Amici
Iscriverò i miei amici a Uomini e Donne,Amici
Inizierò a frequentare i gabinetti di lettura,Amici
Offrirò consulenza gratutita su come gestire un profilo Tinder,Amici
Proporrò ai miei amici di guardare i film belli tipo la corazzata Potëmkin,Amici
Non ci picchieremo più durante il Monopoli, promesso!,Amici
Aprirò ai Testimoni di Geova,Amici
Aprirò ai venditori del Folletto,Amici
Ai genitori dirò la verità quando mi faranno vedere i loro neonati,Amici
Quando usciremo la sera, guiderò sempre io,Amici
Mi sbronzerò anche per voi, cari amici,Amici
Chiamerò fra tutti i miei amici,Amici
La gang non s'infama,Amici
Sistemerò tutta la rubrica del mio smartphone,Amici
Smetterò di regalare gli smartbox,Amici
Non obietterò sulle decisioni che riguardano le vacanze,Amici
Smetterò di parlare con il mio cane e proverò a parlare con le persone vere,Amici
Farò una pulizia contatti per eliminare tutte le persone false,Amici
Dirò a tutti che Babbo Natale non esiste,Amici
Dirò ai figli dei miei amici che Babbo Natale esiste,Amici
Entrerò in una setta psicoreligiosa,Amici
Inizierò a frequentare la parrocchia ,Amici
Mi iscriverò alle scuole serali ,Amici
Manderò un messaggio a tutti i contatti della rubrica di cui non ricordo la faccia,Amici
Rintraccerò tutte le persone che ho come amici su Facebook,Amici
Mi qualificherò alle olimpiadi,Sport
Mi darò ufficialmente al calcio femminile,Sport
Visiterò la palestra che sto pagando da 3 anni,Sport
Smetterò di ungermi prima di andare in palestra,Sport
Sfiderò Usain Bolt a chi mangia più lasagne in 10 minuti,Sport
Mi farò assumere come allenatore del Napoli,Sport
Andrò in ritiro con il Napoli perché adoro la solitudine,Sport
Istituirò un torneo aziendale di ruba bandiera,Sport
Mi allenerò per alzarmi dal divano senza dire oioia,Sport
Accetterò l'esistenza del mio mal di schiena e cercerò di combatterla,Sport
Mi comprerò Fifa 2020,Sport
Mi darò al Parkour,Sport
Farò le foto con la linguaccia mentre faccio jogging,Sport
Mi impegnerò affinché il mio profilo Instagram inganni la gente sulla mia attività sportiva,Sport
Parteciperò a tutte le sagre di paese che conosco raggiungendole a corsa,Sport
A Tokyo 2020 tiferò la nazionale degli apolidi,Sport
Mi darò al sesso per sport,Sport
Mi comprerò un'auto sportiva,Sport
Creerò una movimento per far diventare la gara di rutti disciplina olimpica,Sport
Indosserò solo tutine mega aderenti e mega sgargianti,Sport
Andrò a fare sport nel parco con indosso solo un impermeabile,Sport
Cercherò di non rompermi nessun legamento,Sport
Diventerò uno star della pallavolo del quartiere,Sport
Basta leggins, giuro,Sport
Mi darò al poliamore,Amore
Mi sposerò con me stesso/a,Amore
Perderò la verginità,Amore
Riacquisterò la verginità,Amore
Mi leggerò tutti gli Harmony per cercare ispirazione,Amore
Punterò ad avere un orgasmo al giorno,Amore
Punterò ad avere almeno un orgasmo,Amore
Smetterò di frequentarmi,Amore
Maratona Beautiful dall'anno 0,Amore
Mi innamorerò di un chatbot,Amore
Creerò un movimento per far sì che ci si possa sposare con i nostri amici pelosetti,Amore
Mi ubriacherò continuamente fino a che non mi risveglierò con un anello al dito,Amore
Mi darò al sesso a pagamento, da capire ancora in che ruolo,Amore
Inizierò a rispondere ai messaggi su Tinder,Amore
Cercherò di partecipare a Uomini e Donne o almeno a Forum,Amore
Farò una dichiarazione d'amore a un/a mio/a collega,Amore
Mi sposerò con una Sardina,Amore
Darò un nome alla mia mano,Amore
Tornerò single, ancora più single di prima,Amore
Diventerò un alpaca e cercherò una famiglia amorosa che mi adotti,Amore
Proverò a sedurre il mio pesce rosso,Amore
Proverà a insegnare al mio gatto a rispondermi quando dico Tesoro, sono a casa!,Amore
Mentirò ogni volta che mi chiederanno Sei single?,Amore
Lascerò il mio numero di telefono nel bagno dell'Autogrill,Amore
Pulirò l'appartamento almeno una volta a settimana come rito propiziatorio,Amore
Parteciperò alle cene danzanti per i single,Amore
Mi darò ai ménage à trois,Amore
Mi darò ai club privé,Amore
Comprerò degli spazi pubblicitari 6x3 per pubblicizarmi alle donzelle ,Amore
Smetterò di ascoltare Rimmel di De Gregori pensando alla mia ex-ex-ex-ex fidanzata,Amore
Smetterò di mettermi i vestiti di quando ero adolescente,Amore
Inizierò a partecipare a tutti i trenini in discoteca,Amore
Mi iscriverò a una crociera alcolica,Amore
Prenderò un cane per incontrare amanti dei cani al parco,Amore
Mi darò all'amore mistico divino,Amore
